province,k,old_precision,tdmc_precision,improvement_precision,improvement_pct_precision,old_recall,tdmc_recall,improvement_recall,improvement_pct_recall,old_f1,tdmc_f1,improvement_f1,improvement_pct_f1,old_ndcg,tdmc_ndcg,improvement_ndcg,improvement_pct_ndcg,old_averageRating,tdmc_averageRating,improvement_averageRating,improvement_pct_averageRating,old_diversity,tdmc_diversity,improvement_diversity,improvement_pct_diversity,old_avgDistance,tdmc_avgDistance,improvement_avgDistance,improvement_pct_avgDistance,old_runtime,tdmc_runtime,improvement_runtime,improvement_pct_runtime
นครสวรรค์,1,1.0,1.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0,0.7500472601343988,0.6976586128377266,-0.05238864729667225,-6.9847128415994595,4.6,4.5,-0.09999999999999964,-2.173913043478253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17870000000039,1.9822000000021944,-1.8035000000018044,-1009.2333519853769
นครสวรรค์,2,1.0,1.0,0.0,0.0,0.04,0.04,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.7500472601343988,0.7179253081116644,-0.03212195202273438,-4.282657071099565,4.6,4.55,-0.04999999999999982,-1.0869565217391266,0.0,0.0,0.0,0.0,45.347434625817634,32.9739959805695,12.373438645248136,27.285862469061417,0.15390000000115833,2.333200000000943,-2.1792999999997846,-1416.0493827052514
นครสวรรค์,3,1.0,1.0,0.0,0.0,0.06,0.06,0.0,0.0,0.11320754716981131,0.11320754716981131,0.0,0.0,0.7377548213036799,0.6747201108867086,-0.06303471041697128,-8.544127208221184,4.566666666666666,4.466666666666667,-0.09999999999999964,-2.1897810218978027,0.0,0.11671084378403762,0.11671084378403762,0.0,47.81193310204469,11.60288240897161,36.20905069307308,75.73224578849876,0.16799999999784632,2.468400000001566,-2.3004000000037195,-1369.2857143054819
นครสวรรค์,4,1.0,1.0,0.0,0.0,0.08,0.08,0.0,0.0,0.14814814814814814,0.14814814814814814,0.0,0.0,0.7478139934581994,0.7031824315680469,-0.044631561890152494,-5.968270489798913,4.55,4.5,-0.04999999999999982,-1.098901098901095,0.0,0.10155932863252237,0.10155932863252237,0.0,63.04198464822734,25.62568964103404,37.4162950071933,59.35139132432975,0.1680000000014843,3.4444000000003143,-3.27639999999883,-1950.2380952201684
นครสวรรค์,5,1.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.760834020826585,0.6692079352257412,-0.09162608560084384,-12.0428481236025,4.54,4.4,-0.13999999999999968,-3.0837004405286272,0.0,0.0999945588850073,0.0999945588850073,0.0,53.03964225049914,13.325630601634254,39.71401164886489,74.87609260503855,0.30680000000211294,4.243700000002718,-3.9369000000006054,-1283.2138200695865
นครสวรรค์,6,1.0,1.0,0.0,0.0,0.12,0.12,0.0,0.0,0.21428571428571425,0.21428571428571425,0.0,0.0,0.7502198071142163,0.6946325156804807,-0.05558729143373564,-7.409467319658866,4.466666666666666,4.433333333333334,-0.03333333333333233,-0.7462686567163955,0.02904302360824096,0.10229062132176214,0.07324759771352118,252.20376053661707,55.41145811108573,7.545305959601385,47.86615215148434,86.38313046288191,0.30789999999979045,7.198200000002544,-6.890300000002753,-2237.836960054382
นครสวรรค์,7,1.0,1.0,0.0,0.0,0.14,0.14,0.0,0.0,0.24561403508771928,0.24561403508771928,0.0,0.0,0.7500564034026218,0.71978518053757,-0.030271222865051794,-4.035859533726631,4.442857142857142,4.471428571428572,0.028571428571430246,0.643086816720295,0.04149003372605853,0.07471429651643713,0.0332242627903786,80.07769530809404,54.55102527199641,4.425941989658153,50.12508328233825,91.88660164022582,0.31049999999959255,12.511600000001636,-12.201100000002043,-3929.5008051587934
นครสวรรค์,8,1.0,1.0,0.0,0.0,0.16,0.16,0.0,0.0,0.2758620689655173,0.2758620689655173,0.0,0.0,0.7581441561105997,0.7414805814095187,-0.01666357470108104,-2.1979427747049893,4.449999999999999,4.5,0.05000000000000071,1.1235955056179936,0.06439702316831153,0.07191133215796874,0.007514308989657215,11.668721037022802,50.927921521219766,4.339864657757169,46.5880568634626,91.47841787348634,0.565599999998085,9.651700000002165,-9.08610000000408,-1606.4533239099794
นครสวรรค์,9,1.0,1.0,0.0,0.0,0.18,0.18,0.0,0.0,0.3050847457627119,0.3050847457627119,0.0,0.0,0.7610670697779554,0.7527766756499873,-0.00829039412796806,-1.0893118960444337,4.444444444444444,4.511111111111111,0.06666666666666732,1.5000000000000149,0.07849588000242536,0.06827873261114048,-0.010217147391284875,-13.016157524406616,45.866387142471865,4.000309077623,41.866078064848864,91.27834275414565,1.1837999999988824,15.714099999997416,-14.530299999998533,-1227.4286197003084
นครสวรรค์,10,0.9,1.0,0.09999999999999998,11.111111111111107,0.18,0.2,0.020000000000000018,11.111111111111121,0.3,0.33333333333333337,0.03333333333333338,11.111111111111127,0.7501871415323775,0.7621894148957765,0.012002273363398985,1.5999039038289056,4.379999999999999,4.51,0.13000000000000078,2.9680365296803837,0.08420644439105573,0.06894558772397785,-0.015260856667077882,-18.12314577279416,47.690125244972094,3.856648643177125,43.83347660179497,91.91310858722534,0.42990000000281725,37.044700000002194,-36.61479999999938,-8517.050476799122
